pre,post,weight
10074,35930,2
10074,36925,2
10074,38423,2
10074,42619,1
10074,46376,1
10074,60254,9
10074,65991,4
10074,71157,3
10074,74052,29
10074,76746,7
10074,80085,9
10074,81112,2
10074,82720,10
10074,88051,1
10074,99700,34
10074,110055,21
10074,111787,1
10074,125938,1
10074,136628,2
10074,199352,27
10074,511752,5
10074,511914,2
10074,511996,33
10074,512121,2
10074,512159,3
10074,512176,84
10074,512192,1
10074,512415,72
10074,512688,1
10074,512705,5
10074,512821,2
10074,513114,12
10074,513681,1
10074,513842,4
10074,513904,2
10074,514252,28
10074,514293,6
10074,514480,6
10074,514481,101
10074,514508,2
10074,514956,1
10074,515145,22
10074,515799,1
10074,515900,2
10074,516152,10
10074,516500,4
10074,517167,3
10074,517426,6
10074,517752,1
10074,517936,1
10074,518730,1
10074,518983,7
10074,519141,1
10074,519387,14
10074,519389,140
10074,519392,5
10074,519411,53
10074,519415,4
10074,519539,2
10074,519650,2
10074,520409,10
10074,520449,1
10074,520488,14
10074,520664,1
10074,520792,2
10074,521358,36
10074,521463,1
10074,521628,2
10074,521693,91
10074,522302,1
10074,522310,3
10074,522355,1
10074,522711,51
10074,523564,2
10074,523641,65
10074,523644,11
10074,523808,2
10074,523860,5
10074,524162,62
10074,524753,33
10074,524756,24
10074,524789,4
10074,524899,2
10074,525289,7
10074,526031,5
10074,526286,1
10074,527690,2
10074,529811,102
10074,530029,1
10074,531425,5
10074,531538,13
10074,531898,32
10074,531899,147
10074,532198,2
10074,532839,15
10074,533129,1
10074,533751,3
10074,533752,25
10074,555383,188
10074,556303,88
10074,556767,2
10074,556817,33
10074,558778,1
10074,570013,4
10074,570458,3
10074,581331,4
10074,588414,1
10074,919061,2
10082,10038,20
10082,10091,3
10082,10100,1
10082,10106,1
10082,10145,1
10082,10173,114
10082,10184,3
10082,10202,1
10082,10252,15
10082,10283,23
10082,10287,17
10082,10297,204
10082,10315,5
10082,10323,3
10082,10325,5
10082,10333,8
10082,10360,9
10082,10432,1
10082,10448,1
10082,10580,15
10082,10584,21
10082,10709,1
10082,10760,3
10082,10778,1
10082,10867,5
10082,10879,57
10082,10887,11
10082,10923,9
10082,10925,1
10082,10957,78
10082,10995,6
10082,11017,11
10082,11066,1
10082,11108,13
10082,11133,16
10082,11177,1
10082,11205,3
10082,11233,3
10082,11250,2
10082,11303,1
10082,11361,31
10082,11367,107
10082,11397,11
10082,11526,24
10082,11599,1
10082,11630,95
10082,11664,2
10082,11677,4
10082,11727,29
10082,11826,9
10082,11832,24
10082,11883,5
10082,11927,1
10082,12041,5
10082,12143,2
10082,12156,1
10082,12184,205
10082,12215,31
10082,12255,1
10082,12275,109
10082,12419,15
10082,12444,22
10082,12628,4
10082,12798,35
10082,12951,74
10082,12984,1
10082,12990,3
10082,13111,1
10082,13240,1
10082,13264,8
10082,13274,3
10082,13289,1
10082,13381,1
10082,13648,3
10082,13825,7
10082,13959,1
10082,14017,12
10082,14036,2
10082,14112,10
10082,14411,1
10082,14606,22
10082,14683,48
10082,15323,32
10082,15414,16
10082,15699,20
10082,15733,26
10082,15815,2
10082,15831,15
10082,15861,4
10082,16168,9
10082,16445,17
10082,16459,46
10082,16659,153
10082,16815,2
10082,16870,46
10082,16904,14
10082,16931,2
10082,17065,1
10082,17144,9
10082,17284,1
10082,17404,26
10082,17426,37
10082,17616,7
10082,17767,1
10082,17908,1
10082,18090,2
10082,18116,2
10082,18687,63
10082,18745,1
10082,18825,5
10082,18876,16
10082,18977,20
10082,19454,50
10082,19463,18
10082,19554,1
10082,19572,23
10082,19756,17
10082,19951,29
10082,20755,3
10082,20922,1
10082,21342,3
10082,21641,1
10082,22309,7
10082,24338,1
10082,24410,1
10082,24411,22
10082,25839,59
10082,26056,1
10082,26730,4
10082,27620,1
10082,29859,5
10082,30398,2
10082,30511,1
10082,30803,1
10082,30883,14
10082,31784,13
10082,33474,10
10082,36717,2
10082,37613,1
10082,52559,23
10082,76637,5
10082,87956,29
10082,202892,13
10082,512159,11
10082,513114,6
10082,513691,8
10082,513764,5
10082,513795,7
10082,514764,5
10082,516152,1
10082,517234,2
10082,520188,27
10082,520488,3
10082,520628,1
10082,521377,12
10082,522405,2
10082,523808,1
10082,523921,20
10082,527690,1
10082,527694,14
10082,527704,5
10082,529031,16
10082,530850,46
10082,531983,1
10082,531985,30
10082,534038,3
10082,534040,57
10091,10001,74
10091,10010,214
10091,10017,5
10091,10074,2
10091,10082,1
10091,10100,1
10091,10115,9
10091,10146,2
10091,10147,3
10091,10173,1
10091,10184,23
10091,10192,1
10091,10202,3
10091,10252,17
10091,10257,4
10091,10259,1
10091,10283,96
10091,10315,5
10091,10323,28
10091,10348,1
10091,10361,4
10091,10373,13
10091,10417,210
10091,10442,1
10091,10447,14
10091,10494,1
10091,10580,66
10091,10584,2
10091,10667,3
10091,10684,1
10091,10728,4
10091,10778,1
10091,10780,17
10091,10879,2
10091,10887,75
10091,10923,1
10091,10971,1
10091,10992,10
10091,11091,1
10091,11108,3
10091,11118,9
10091,11133,28
10091,11205,1
10091,11272,3
10091,11361,10
10091,11507,2
10091,11508,1
10091,11630,2
10091,11677,3
10091,11826,10
10091,11832,15
10091,11927,7
10091,12041,2
10091,12184,1
10091,12215,2
10091,12275,5
10091,12395,70
10091,12427,1
10091,12628,9
10091,12798,2
10091,13274,1
10091,14017,1
10091,14899,6
10091,15052,2
10091,15424,1
10091,15597,8
10091,15959,1
10091,16263,3
10091,16445,1
10091,16482,8
10091,16904,1
10091,16931,3
10091,17066,1
10091,17144,10
10091,17375,4
10091,17616,3
10091,18907,1
10091,18940,26
10091,20143,4
10091,20885,5
10091,21342,18
10091,21641,1
10091,22292,7
10091,22557,1
10091,22584,18
10091,22620,1
10091,23349,1
10091,23919,3
10091,27620,3
10091,28160,19
10091,29702,2
10091,30511,1
10091,30789,104
10091,30883,7
10091,31334,41
10091,33037,4
10091,76637,5
10091,80085,2
10091,85544,1
10091,512192,13
10091,512415,1
10091,514252,2
10091,514481,1
10091,516820,1
10091,517426,1
10091,519389,9
10091,519724,1
10091,519772,5
10091,521190,8
10091,521675,29
10091,521693,3
10091,523808,37
10091,523921,5
10091,524789,1
10091,527694,8
10091,527704,3
10091,531538,2
10091,531899,4
10091,532569,13
10091,532839,1
10091,534038,2
10091,555227,6
10091,556817,1
10091,803449,4
10091,803986,5
10091,806232,17
10091,806876,12
10091,807265,6
10091,808023,3
10091,808257,9
10091,926518,3
10100,10010,1
10100,10017,3
10100,10030,2
10100,10033,1
10100,10038,2
10100,10074,3
10100,10082,2
10100,10091,2
10100,10109,1
10100,10115,5
10100,10118,8
10100,10147,33
10100,10173,2
10100,10202,4
10100,10228,3
10100,10244,1
10100,10252,6
10100,10257,2
10100,10263,1
10100,10283,8
10100,10297,7
10100,10315,1
10100,10323,3
10100,10325,1
10100,10333,2
10100,10361,2
10100,10364,16
10100,10373,1
10100,10417,4
10100,10448,4
10100,10494,4
10100,10580,3
10100,10584,1
10100,10609,2
10100,10641,13
10100,10667,6
10100,10728,3
10100,10775,2
10100,10778,6
10100,10780,4
10100,10783,1
10100,10867,20
10100,10879,1
10100,10887,4
10100,10936,1
10100,10957,3
10100,10986,1
10100,10992,2
10100,10995,1
10100,11014,1
10100,11017,3
10100,11018,9
10100,11108,1
10100,11118,5
10100,11125,7
10100,11133,4
10100,11187,3
10100,11191,2
10100,11205,2
10100,11252,6
10100,11272,2
10100,11303,7
10100,11361,5
10100,11435,4
10100,11440,1
10100,11498,1
10100,11507,4
10100,11630,7
10100,11664,1
10100,11677,4
10100,11720,1
10100,11826,7
10100,11832,3
10100,11895,8
10100,11913,10
10100,11927,2
10100,11943,41
10100,11988,1
10100,12032,1
10100,12041,4
10100,12110,2
10100,12143,1
10100,12184,1
10100,12215,2
10100,12255,2
10100,12275,8
10100,12384,1
10100,12395,9
10100,12419,2
10100,12427,7
10100,12507,2
10100,12621,3
10100,12628,1
10100,12798,5
10100,12951,2
10100,12984,3
10100,13122,3
10100,13181,1
10100,13264,1
10100,13274,8
10100,13291,3
10100,13534,6
10100,13764,1
10100,13794,13
10100,13830,38
10100,13959,1
10100,14002,3
10100,14017,2
10100,14030,1
10100,14055,2
10100,14091,3
10100,14102,1
10100,14411,8
10100,14459,24
10100,14683,3
10100,14888,1
10100,15052,4
10100,15068,1
10100,15150,24
10100,15225,5
10100,15367,5
10100,15414,2
10100,15471,1
10100,15584,5
10100,15597,1
10100,15718,9
10100,15804,2
10100,15815,4
10100,15861,1
10100,16459,7
10100,16475,9
10100,16482,3
10100,16659,95
10100,16904,1
10100,16931,1
10100,17065,2
10100,17426,1
10100,17556,3
10100,17584,1
10100,17908,3
10100,18020,37
10100,18116,3
10100,18340,1
10100,18672,1
10100,18739,12
10100,18745,1
10100,18907,3
10100,18917,1
10100,18936,2
10100,18977,1
10100,19034,2
10100,19283,2
10100,19454,3
10100,19463,2
10100,19537,1
10100,19540,1
10100,19608,1
10100,19659,1
10100,19756,6
10100,19830,1
10100,19951,3
10100,19954,1
10100,20047,1
10100,20143,3
10100,20182,2
10100,20240,1
10100,20329,2
10100,20334,1
10100,20509,1
10100,20694,2
10100,20755,1
10100,20967,2
10100,21045,4
10100,21173,1
10100,21299,3
10100,21426,1
10100,21562,2
10100,21703,1
10100,21769,1
10100,21780,1
10100,21808,2
10100,21984,1
10100,22218,1
10100,22339,1
10100,22505,1
10100,22584,2
10100,22620,1
10100,22772,1
10100,22975,2
10100,23247,1
10100,23463,1
10100,23665,2
10100,23729,1
10100,23867,1
10100,24264,3
10100,24268,4
10100,24308,1
10100,24401,1
10100,24410,21
10100,24568,1
10100,24605,1
10100,24687,3
10100,24840,1
10100,25027,1
10100,25136,1
10100,25193,2
10100,25209,1
10100,25253,1
10100,25316,1
10100,25854,1
10100,26147,1
10100,26416,2
10100,27023,1
10100,27211,1
10100,27355,1
10100,27399,1
10100,27468,1
10100,27471,1
10100,27624,1
10100,27704,1
10100,27716,1
10100,27750,1
10100,28011,1
10100,28044,1
